PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Calvin Johnson, WR",DET,96,158,"1,681",17.5,16,73,32,105.1,1,524,77
"Wes Welker, WR",NE,122,172,"1,569",12.9,9,99,21,98.1,0,732,77
"Victor Cruz, WR",NYG,82,131,"1,536",18.7,9,99,25,96.0,1,595,59
"Larry Fitzgerald, WR",ARI,80,153,"1,411",17.6,8,73,25,88.2,0,493,61
"Steve Smith Sr., WR",CAR,79,129,"1,394",17.6,7,77,29,87.1,3,474,53
"Rob Gronkowski, TE",NE,90,124,"1,327",14.7,17,52,22,82.9,0,656,69
"Jimmy Graham, TE",NO,99,149,"1,310",13.2,11,59,18,81.9,1,469,74
"Roddy White, WR",ATL,100,181,"1,296",13.0,8,43,18,81.0,0,364,77
"Jordy Nelson, WR",GB,68,96,"1,263",18.6,15,93,19,78.9,0,418,47
"Brandon Marshall, WR",MIA,81,145,"1,214",15.0,6,65,20,75.9,1,319,53
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Mike Wallace, WR",PIT,72,113,"1,193",16.6,8,95,18,74.6,1,493,54
"Hakeem Nicks, WR",NYG,76,133,"1,192",15.7,7,68,17,79.5,0,359,54
"Dwayne Bowe, WR",KC,81,141,"1,159",14.3,5,52,19,72.4,1,359,57
"Marques Colston, WR",NO,80,107,"1,143",14.3,8,50,15,81.6,1,265,55
"Antonio Brown, WR",PIT,69,123,"1,108",16.1,2,79,18,69.3,0,342,57
"Vincent Jackson, WR",SD,60,115,"1,106",18.4,9,58,21,69.1,0,224,54
"A.J. Green, WR",CIN,65,116,"1,057",16.3,7,58,19,70.5,0,292,43
"Nate Washington, WR",TEN,74,121,"1,023",13.8,7,57,13,63.9,0,331,47
"Stevie Johnson, WR",BUF,76,135,"1,004",13.2,7,55,13,62.8,0,325,45
"Darrius Heyward-Bey, WR",OAK,64,115,975,15.2,4,58,14,65.0,1,282,44
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Percy Harvin, WR",MIN,87,123,967,11.1,6,52,14,60.4,2,537,45
"DeSean Jackson, WR",PHI,58,104,961,16.6,4,62,15,64.1,0,247,39
"Reggie Wayne, WR",IND,75,131,960,12.8,4,56,12,60.0,0,276,50
"Julio Jones, WR",ATL,54,96,959,17.8,8,80,16,73.8,1,415,34
"Greg Jennings, WR",GB,67,101,949,14.2,9,79,13,73.0,0,309,43
"Jabar Gaffney, WR",WSH,68,115,947,13.9,5,45,14,59.2,1,184,50
"Pierre Garcon, WR",IND,70,134,947,13.5,6,87,9,59.2,2,360,42
"Jason Witten, TE",DAL,79,117,942,11.9,5,64,15,58.9,1,358,47
"Dez Bryant, WR",DAL,63,103,928,14.7,9,50,17,61.9,1,305,48
"Aaron Hernandez, TE",NE,79,113,910,11.5,7,46,12,65.0,1,519,46
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Anquan Boldin, WR",BAL,57,105,887,15.6,3,56,15,63.4,0,245,44
"Tony Gonzalez, TE",ATL,80,116,875,10.9,7,30,8,54.7,0,232,53
"Michael Crabtree, WR",SF,72,114,874,12.1,4,52,12,58.3,0,363,40
"Jeremy Maclin, WR",PHI,63,97,859,13.6,5,59,15,66.1,1,266,43
"Laurent Robinson, WR",DAL,54,81,858,15.9,11,74,12,61.3,0,264,36
"Malcom Floyd, WR",SD,43,70,856,19.9,5,52,16,71.3,0,193,41
"Torrey Smith, WR",BAL,50,95,841,16.8,7,74,14,52.6,1,237,34
"Dustin Keller, TE",NYJ,65,116,815,12.5,5,41,12,50.9,1,320,39
"Brent Celek, TE",PHI,62,96,811,13.1,5,73,14,50.7,0,487,35
"Fred Davis, TE",WSH,59,88,796,13.5,3,42,15,66.3,1,353,39
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Vernon Davis, TE",SF,67,95,792,11.8,6,44,15,49.5,3,328,33
"Doug Baldwin, WR",SEA,51,86,788,15.5,4,55,19,49.3,0,311,40
